price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,in_polygon,finca_raiz_id
580000000,Carrera 10A No. 138 - 43,4.71760654449463,-74.0342025756836,"Cedritos, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/8252341,4,No reporta,3,130.0,130.0,más de 30 años,3,2,470000.0,4.0,0,8252341
570000000,Carrera 87B,4.6644845,-74.1331263,"Fontibon, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10767257,4,No reporta,3,91.0,120.0,16 a 30 años,3,2,350000.0,No reporta,0,10767257
2100000000,Diagonal 72 1 46 ESTE,4.651315,-74.048477,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11026638,6,No reporta,4,278.0,278.0,16 a 30 años,4,3,No reporta,4.0,0,11026638
1100000000,6 #123 A -74,4.698257979331,-74.028697020388,"Usaquen, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10989863,6,No reporta,4,144.0,144.0,16 a 30 años,3,2,1200000.0,1.0,0,10989863
600000000,carrera 67 #97-96,4.6888407,-74.0710507,"Los andes, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191449427,4,No reporta,2,114.0,114.0,16 a 30 años,3,1,561000.0,9.0,0,191449427
560000000,Cl. 127D 19-25,4.710644,-74.048693,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11025306,5,No reporta,3,100.0,100.0,No reporta,3,2,773900.0,4.0,0,11025306
1280000000,CL 96 21 75,4.683752,-74.055733,"Chico norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11026532,6,No reporta,4,151.0,151.0,9 a 15 años,3,2,1134000.0,6.0,0,11026532
750000000,Av Calle 127 # 7 - 71,4.702160006716,-74.02952003946,"Santa Barbara, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10798039,5,No reporta,2,69.0,69.0,menor a 1 año,1,1,500000.0,10.0,0,10798039
260000000,Carrera 29,4.6115051,-74.0927025,"Ricaurte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10747488,4,No reporta,1,40.0,40.0,No reporta,1,1,No reporta,No reporta,0,10747488
157000000,Calle 64 # 112b - 82,4.7070075,-74.1364281,"Villa gladys, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191482062,2,No reporta,1,49.0,49.0,9 a 15 años,2,1,95000.0,4.0,0,191482062
2100000000,Carrera 21 # 105 - 47,4.6928799826153,-74.0534699866797,"Chicó Navarra, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10799820,6,No reporta,6,350.0,350.0,9 a 15 años,5,4,1800000.0,4.0,0,10799820
590000000,autopista norte #128 d - 60,4.71617794036865,-74.0517120361328,"La Calleja, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta-bogota/8226960,5,No reporta,3,110.0,110.0,No reporta,3,2,No reporta,No reporta,0,8226960
550000000,CALLE 127B   71A- 99,4.718533,-74.0854275,"Niza norte, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191637900,5,No reporta,2,98.0,98.0,más de 30 años,3,2,600000.0,No reporta,0,191637900
350000000,CALLE 75B   63- 68,4.6773273,-74.0801901,"San fernando occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191285217,3,No reporta,2,46.0,76.0,más de 30 años,2,2,150000.0,No reporta,0,191285217
230000000,Carrera 111 A,4.7504061,-74.1007465,"Plaza Imperial Centro Comercial, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191550770,3,No reporta,2,55.0,55.0,16 a 30 años,3,1,178700.0,4.0,0,191550770
198000000,"Calle 10b 81F-70,",4.6494574,-74.1450762,"Castilla, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191299840,3,Buen estado,1,39.0,32.0,1 a 8 años,2,1,117000.0,11.0,0,191299840
