Unnamed: 0,link,created_at,scraped_at
5601,https://www.fincaraiz.com.co/proyectos/jardines-del-portal/15016717,2024-11-10 14:51:00.829132,
5602,https://www.fincaraiz.com.co/proyectos/provenza-prestige/10798208,2024-11-10 14:51:00.831092,
5603,https://www.fincaraiz.com.co/proyectos/metropoli-30/10389240,2024-11-10 14:51:00.833113,
5604,https://www.fincaraiz.com.co/proyectos/nogal/5438244,2024-11-10 14:51:00.835043,
5605,https://www.fincaraiz.com.co/proyectos/orquidea/6382440,2024-11-10 14:51:00.837212,
5606,https://www.fincaraiz.com.co/proyectos/proyecto-finca-test/15016890,2024-11-10 14:51:00.839005,
6762,https://www.fincaraiz.com.co/proyectos/urbania-bio/6596924,2024-11-10 14:50:51.903823,
6763,https://www.fincaraiz.com.co/proyectos/la-isla/6513127,2024-11-10 14:50:51.907022,
6764,https://www.fincaraiz.com.co/proyectos/cedro/6516084,2024-11-10 14:50:51.909780,
6765,https://www.fincaraiz.com.co/proyectos/primavera/7425177,2024-11-10 14:50:51.912446,
6766,https://www.fincaraiz.com.co/proyectos/calabria/7958693,2024-11-10 14:50:51.914631,
6767,https://www.fincaraiz.com.co/proyectos/mistral-cuatro-vientos/5785654,2024-11-10 14:50:51.916612,
6768,https://www.fincaraiz.com.co/proyectos/paseo-del-parque/6903734,2024-11-10 14:50:51.918635,
6769,https://www.fincaraiz.com.co/proyectos/alicante/10230770,2024-11-10 14:50:51.921036,
6770,https://www.fincaraiz.com.co/proyectos/la-terra-alsacia-reservado/5311305,2024-11-10 14:50:51.923052,
6771,https://www.fincaraiz.com.co/proyectos/bosques-de-guaymaral-verdania/10229338,2024-11-10 14:50:51.925117,
6772,https://www.fincaraiz.com.co/proyectos/caney-reservado/5772437,2024-11-10 14:50:51.927485,
6773,https://www.fincaraiz.com.co/proyectos/zuri-zentral/10183150,2024-11-10 14:50:51.929602,
6774,https://www.fincaraiz.com.co/proyectos/cerezo/6382051,2024-11-10 14:50:51.931532,
6775,https://www.fincaraiz.com.co/proyectos/aralia-de-castilla/1530277,2024-11-10 14:50:51.933260,
6776,https://www.fincaraiz.com.co/proyectos/view-63/4315999,2024-11-10 14:50:51.935290,
6777,https://www.fincaraiz.com.co/proyectos/edificio-kuu/7884966,2024-11-10 14:50:51.937510,
6778,https://www.fincaraiz.com.co/proyectos/florecer/7926017,2024-11-10 14:50:51.939457,
6779,https://www.fincaraiz.com.co/proyectos/vivopark/10481109,2024-11-10 14:50:51.941241,
6780,https://www.fincaraiz.com.co/proyectos/eskala/10729226,2024-11-10 14:50:51.943004,
7236,https://www.fincaraiz.com.co/apartamento-en-venta/191411348,2024-11-10 16:28:46.658804,
7488,https://www.fincaraiz.com.co/apartamento-en-venta/10873022,2024-11-10 15:12:26.832992,
7502,https://www.fincaraiz.com.co/apartamento-en-venta/11015119,2024-11-10 15:13:23.100989,
7522,https://www.fincaraiz.com.co/apartamento-en-venta/191286177,2024-11-10 15:09:34.604083,
7545,https://www.fincaraiz.com.co/apartamento-en-venta/10743980,2024-11-10 15:06:54.147389,
7705,https://www.fincaraiz.com.co/apartamento-en-venta/10799725,2024-11-10 15:18:23.484831,
7882,https://www.fincaraiz.com.co/apartamento-en-venta/10263431,2024-11-10 15:51:53.119512,
7895,https://www.fincaraiz.com.co/apartamento-en-venta/10482900,2024-11-10 15:51:53.147578,
7909,https://www.fincaraiz.com.co/apartamento-en-venta/10249849,2024-11-10 15:46:17.879346,
7935,https://www.fincaraiz.com.co/apartamento-en-venta/10810077,2024-11-10 15:44:54.866788,
7946,https://www.fincaraiz.com.co/apartamento-en-venta/191588416,2024-11-10 15:45:00.141346,
7971,https://www.fincaraiz.com.co/apartamento-en-venta/191563218,2024-11-10 15:46:02.365397,
8026,https://www.fincaraiz.com.co/apartamento-en-venta/191599504,2024-11-10 15:54:40.615669,
8084,https://www.fincaraiz.com.co/apartamento-en-venta/191385375,2024-11-10 16:25:57.223037,
8087,https://www.fincaraiz.com.co/apartamento-en-venta/1341647,2024-11-10 16:23:05.668996,
8102,https://www.fincaraiz.com.co/apartamento-en-venta/10985694,2024-11-10 16:23:05.695521,
8187,https://www.fincaraiz.com.co/apartamento-en-venta/11025630,2024-11-10 15:09:34.408301,
8347,https://www.fincaraiz.com.co/apartamento-en-venta/191599472,2024-11-10 15:10:28.801828,
8468,https://www.fincaraiz.com.co/apartamento-en-venta/191598128,2024-11-10 15:52:39.112066,
8603,https://www.fincaraiz.com.co/apartamento-en-venta/11041895,2024-11-10 15:46:57.308620,
8605,https://www.fincaraiz.com.co/apartamento-en-venta-bogota/6983949,2024-11-10 15:46:57.312839,
8606,https://www.fincaraiz.com.co/apartamento-en-venta/11026526,2024-11-10 15:46:57.315418,
8607,https://www.fincaraiz.com.co/apartamento-en-venta/10910923,2024-11-10 15:46:57.317486,
8608,https://www.fincaraiz.com.co/apartamento-en-venta/10263250,2024-11-10 15:46:57.319261,
8609,https://www.fincaraiz.com.co/apartamento-en-venta/191060443,2024-11-10 15:46:57.321315,
