price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,property_type,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,remodeled
360000000,CALLE 106   51- 02,4.694702,-74.0614109,"Pasadena, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191333817,5,Apartamento,,2.0,55.00  m2,51.00  m2,16 a 30 años,2.0,1.0,"274,000.00",,
430000000,CL 161 # 54 - 12,4.74339983569651,-74.0545730619019,"Mazuren, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10321873,4,Apartamento,,2.0,88.00  m2,88.00  m2,9 a 15 años,3.0,1.0,"494,800.00",5.0,
340000000,Calle 7A BIS # 78F - 30,4.63649903600009,-74.1454082459999,"Castilla, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10073334,3,Apartamento,,2.0,73.22  m2,73.22  m2,16 a 30 años,3.0,1.0,,2.0,
290000000,AVENIDA CARRERA 30 No.  1 -  17,4.599136987049,-74.106663974983,"Ciudad Montes, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191543997,3,Apartamento,,2.0,72.00  m2,72.00  m2,más de 30 años,3.0,1.0,,,
930000000,Cra 20 #118-94,4.7009745,-74.0512704,"Santa barbara occidental, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191467044,5,Apartamento,,4.0,145.00  m2,136.00  m2,16 a 30 años,3.0,2.0,"1,086,000.00",2.0,
132600000,"Calle 52 Sur #93d-98, Bogotá, Colombia",4.6385083,-74.1857297,"Bosa Porvenir, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191535473,2,Apartamento,,1.0,36.00  m2,36.00  m2,9 a 15 años,2.0,,"56,000.00",2.0,
545000000,CARRERA 45   45- 71,4.6449168,-74.0848387,"Rafael nuñez, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10994393,4,Apartamento,,2.0,75.00  m2,75.00  m2,16 a 30 años,3.0,1.0,"382,200.00",,
190000000,Carrera 85 # 88 - 68,4.70838799300009,-74.0949611849999,"Paris gaitan, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10055473,3,Apartamento,,1.0,52.00  m2,52.00  m2,,3.0,,"140,000.00",,
245000000,KR 7 # 47 - 32,4.63412570623731,-74.063657319574,"Chapinero Alto, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10928207,4,Apartamento,,1.0,53.00  m2,53.00  m2,más de 30 años,1.0,,"244,800.00",3.0,
279000000,"Conjunto Residencial Los Tulipanes, Los Tulipanes, Carrera 115a, Bogotá, Colombia",4.7288641,-74.1135807,"Ub. ciudadela colsubsidio, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191107692,3,Apartamento,,2.0,65.00  m2,65.00  m2,16 a 30 años,3.0,,"164,000.00",4.0,
